120,terminating,"120,240,504,1056,1968,3240,7650,14112,32571,27333,12161,1,0"
227,terminating,"227,1,0"
228,terminating,"228,332,256,255,177,63,41,1,0"
229,terminating,"229,1,0"
230,terminating,"230,202,104,106,56,64,63,41,1,0"
231,terminating,"231,153,81,40,50,43,1,0"
88,terminating,"88,92,76,64,63,41,1,0"
232,terminating,"232,218,112,136,134,70,74,40,50,43,1,0"
233,terminating,"233,1,0"
60,terminating,"60,108,172,136,134,70,74,40,50,43,1,0"
121,terminating,"121,12,16,15,9,4,3,1,0"
89,terminating,"89,1,0"
122,terminating,"122,64,63,41,1,0"
210,terminating,"210,366,378,582,594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
61,terminating,"61,1,0"
90,terminating,"90,144,259,45,33,15,9,4,3,1,0"
289,terminating,"289,18,21,11,1,0"
290,terminating,"290,250,218,112,136,134,70,74,40,50,43,1,0"
291,terminating,"291,101,1,0"
292,terminating,"292,226,116,94,50,43,1,0"
293,terminating,"293,1,0"
294,terminating,"294,390,618,630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
295,terminating,"295,65,19,1,0"
123,terminating,"123,45,33,15,9,4,3,1,0"
296,terminating,"296,274,140,196,203,37,1,0"
211,terminating,"211,1,0"
257,terminating,"257,1,0"
297,terminating,"297,183,65,19,1,0"
91,terminating,"91,21,11,1,0"
62,terminating,"62,34,20,22,14,10,8,7,1,0"
124,terminating,"124,100,117,65,19,1,0"
258,terminating,"258,270,450,759,393,135,105,87,33,15,9,4,3,1,0"
298,terminating,"298,152,148,118,62,34,20,22,14,10,8,7,1,0"
299,terminating,"299,37,1,0"
259,terminating,"259,45,33,15,9,4,3,1,0"
212,terminating,"212,166,86,46,26,16,15,9,4,3,1,0"
300,terminating,"300,568,512,511,81,40,50,43,1,0"
92,terminating,"92,76,64,63,41,1,0"
301,terminating,"301,51,21,11,1,0"
302,terminating,"302,154,134,70,74,40,50,43,1,0"
63,terminating,"63,41,1,0"
260,terminating,"260,328,302,154,134,70,74,40,50,43,1,0"
303,terminating,"303,105,87,33,15,9,4,3,1,0"
261,terminating,"261,129,47,1,0"
125,terminating,"125,31,1,0"
262,terminating,"262,134,70,74,40,50,43,1,0"
263,terminating,"263,1,0"
